DEWP,TEMP,PRES,cbwd_embed,Iws,Is,Ir,pm2.5
-16,-4.0,1020.0,3,1.79,0,0,129.0
-15,-4.0,1020.0,3,2.68,0,0,148.0
-11,-5.0,1021.0,3,3.57,0,0,159.0
-7,-5.0,1022.0,3,5.36,1,0,181.0
-7,-5.0,1022.0,3,6.25,2,0,138.0
-7,-6.0,1022.0,3,7.14,3,0,109.0
-7,-6.0,1023.0,3,8.93,4,0,105.0
-7,-5.0,1024.0,3,10.72,0,0,124.0
-8,-6.0,1024.0,3,12.51,0,0,120.0
-7,-5.0,1025.0,3,14.3,0,0,132.0
-7,-5.0,1026.0,3,17.43,1,0,140.0
-8,-5.0,1026.0,3,20.56,0,0,152.0
-8,-5.0,1026.0,3,23.69,0,0,148.0
-8,-5.0,1025.0,3,27.71,0,0,164.0
-9,-5.0,1025.0,3,31.73,0,0,158.0
-9,-5.0,1025.0,3,35.75,0,0,154.0
-9,-5.0,1026.0,3,37.54,0,0,159.0
-8,-5.0,1027.0,3,39.33,0,0,164.0
-8,-5.0,1027.0,3,42.46,0,0,170.0
-8,-5.0,1028.0,3,44.25,0,0,149.0
-7,-5.0,1028.0,3,46.04,0,0,154.0
-7,-5.0,1027.0,3,49.17,1,0,164.0
-8,-6.0,1028.0,3,52.3,2,0,156.0
-8,-6.0,1027.0,3,55.43,3,0,126.0
-7,-6.0,1027.0,3,58.56,4,0,90.0
-8,-6.0,1026.0,3,61.69,5,0,63.0
-8,-7.0,1026.0,3,65.71,6,0,65.0
-8,-7.0,1025.0,3,68.84,7,0,55.0
-8,-7.0,1024.0,3,72.86,8,0,65.0
-9,-8.0,1024.0,3,76.88,9,0,83.0
-10,-8.0,1024.0,3,80.9,10,0,91.0
-10,-9.0,1024.0,3,84.92,11,0,86.0
-10,-9.0,1024.0,3,89.84,12,0,82.0
-11,-9.0,1023.0,3,93.86,13,0,86.0
-11,-9.0,1023.0,3,97.88,15,0,78.0
-11,-9.0,1022.0,3,102.8,16,0,98.0
-11,-9.0,1021.0,3,105.93,17,0,107.0
-11,-9.0,1020.0,3,111.74,19,0,90.0
-11,-9.0,1020.0,3,116.66,20,0,96.0
-11,-9.0,1020.0,3,121.58,21,0,95.0
-11,-9.0,1020.0,3,124.71,22,0,86.0
-11,-9.0,1020.0,3,127.84,23,0,70.0
-11,-9.0,1021.0,0,0.89,24,0,61.0
-11,-9.0,1022.0,0,1.78,25,0,53.0
-10,-9.0,1022.0,2,4.02,26,0,71.0
-11,-10.0,1023.0,2,7.15,27,0,72.0
-11,-9.0,1023.0,2,11.17,0,0,76.0
-12,-11.0,1023.0,2,14.3,0,0,73.0
-14,-12.0,1023.0,2,16.09,0,0,79.0
-16,-9.0,1023.0,2,21.9,0,0,58.0
-17,-10.0,1024.0,2,29.95,0,0,25.0
-18,-11.0,1024.0,2,39.78,0,0,26.0
-19,-11.0,1025.0,2,48.72,0,0,28.0
-20,-12.0,1026.0,2,55.87,0,0,26.0
-21,-12.0,1027.0,2,64.81,0,0,20.0
-21,-13.0,1027.0,2,73.75,0,0,29.0
-22,-13.0,1028.0,2,80.9,0,0,26.0
-22,-13.0,1029.0,2,90.73,0,0,27.0
-22,-12.0,1030.0,2,100.56,0,0,27.0
-23,-12.0,1031.0,2,108.61,0,0,25.0
-21,-11.0,1030.0,2,117.55,0,0,29.0
-20,-10.0,1030.0,2,127.38,0,0,32.0
-21,-10.0,1030.0,2,136.32,0,0,28.0
-21,-9.0,1030.0,2,145.26,0,0,29.0
-21,-9.0,1031.0,2,152.41,0,0,30.0
-20,-11.0,1032.0,2,159.56,0,0,30.0
-23,-11.0,1032.0,2,165.37,0,0,28.0
-21,-12.0,1033.0,2,171.18,0,0,26.0
-24,-12.0,1034.0,2,180.12,0,0,31.0
-24,-13.0,1034.0,2,187.27,0,0,33.0
-24,-13.0,1035.0,2,195.32,0,0,29.0
-26,-15.0,1035.0,2,198.45,0,0,31.0
-26,-17.0,1035.0,2,201.58,0,0,30.0
-26,-18.0,1035.0,2,205.6,0,0,34.0
-26,-19.0,1035.0,2,208.73,0,0,27.0
-27,-18.0,1035.0,2,213.65,0,0,25.0
-27,-19.0,1035.0,2,218.57,0,0,28.0
-27,-16.0,1034.0,1,4.92,0,0,28.0
-26,-16.0,1035.0,1,8.05,0,0,27.0
-27,-16.0,1034.0,1,13.86,0,0,27.0
-26,-16.0,1035.0,1,18.78,0,0,27.0
-26,-15.0,1035.0,1,24.59,0,0,29.0
-25,-14.0,1035.0,1,29.51,0,0,36.0
-25,-13.0,1035.0,1,34.43,0,0,30.0
-25,-12.0,1034.0,1,39.35,0,0,27.0
-24,-11.0,1032.0,1,41.14,0,0,39.0
-22,-11.0,1032.0,0,0.89,0,0,41.0
-23,-11.0,1031.0,2,1.79,0,0,33.0
-24,-11.0,1031.0,2,3.58,0,0,50.0
-23,-11.0,1031.0,2,5.37,0,0,56.0
-23,-11.0,1032.0,2,7.16,0,0,59.0
-22,-13.0,1033.0,2,10.29,0,0,60.0
-22,-12.0,1033.0,2,13.42,0,0,84.0
-24,-18.0,1033.0,2,16.55,0,0,106.0
-22,-13.0,1034.0,2,20.57,0,0,66.0
-22,-16.0,1033.0,2,23.7,0,0,50.0
-25,-17.0,1033.0,2,26.83,0,0,56.0
-25,-14.0,1033.0,1,4.02,0,0,77.0
-26,-14.0,1034.0,1,8.04,0,0,50.0
-26,-14.0,1033.0,1,13.85,0,0,44.0
-26,-14.0,1033.0,1,17.87,0,0,27.0
-26,-14.0,1033.0,1,23.68,0,0,28.0
-26,-14.0,1033.0,1,28.6,0,0,21.0
-26,-15.0,1034.0,1,33.52,0,0,25.0
-26,-14.0,1034.0,1,39.33,0,0,20.0
-25,-13.0,1035.0,1,44.25,0,0,29.0
-25,-12.0,1035.0,1,50.06,0,0,34.0
-24,-11.0,1035.0,1,54.98,0,0,42.0
-24,-10.0,1034.0,1,59.0,0,0,28.0
-22,-10.0,1033.0,2,4.02,0,0,36.0
-22,-9.0,1033.0,2,5.81,0,0,48.0
-22,-8.0,1033.0,0,0.89,0,0,49.0
-22,-8.0,1033.0,2,1.79,0,0,52.0
-21,-9.0,1033.0,2,3.58,0,0,56.0
-22,-9.0,1033.0,2,5.37,0,0,96.0
-22,-14.0,1034.0,0,0.89,0,0,75.0
-22,-12.0,1035.0,2,1.79,0,0,105.0
-21,-14.0,1034.0,2,3.58,0,0,132.0
-22,-16.0,1035.0,2,5.37,0,0,93.0
-21,-16.0,1035.0,2,7.16,0,0,131.0
-21,-16.0,1035.0,2,8.95,0,0,127.0
-21,-16.0,1035.0,0,0.45,0,0,130.0
-22,-18.0,1036.0,0,1.34,0,0,43.0
-23,-15.0,1036.0,2,4.02,0,0,37.0
-24,-16.0,1035.0,2,7.15,0,0,30.0
-25,-15.0,1035.0,2,10.28,0,0,28.0
-24,-15.0,1035.0,2,14.3,0,0,24.0
-25,-13.0,1036.0,1,4.92,0,0,23.0
-24,-14.0,1036.0,2,4.02,0,0,24.0
-23,-12.0,1036.0,2,8.94,0,0,27.0
-22,-11.0,1036.0,2,12.96,0,0,40.0
-20,-10.0,1036.0,2,16.09,0,0,42.0
-21,-9.0,1035.0,2,19.22,0,0,42.0
-21,-8.0,1034.0,2,21.01,0,0,55.0
-20,-7.0,1033.0,2,22.8,0,0,52.0
-20,-7.0,1032.0,2,24.59,0,0,51.0
-18,-8.0,1032.0,2,26.38,0,0,57.0
-19,-9.0,1032.0,2,28.17,0,0,50.0
-19,-11.0,1032.0,1,0.89,0,0,54.0
-18,-11.0,1033.0,2,1.79,0,0,67.0
-19,-15.0,1032.0,1,1.79,0,0,106.0
-19,-14.0,1032.0,0,0.45,0,0,159.0
-21,-14.0,1032.0,0,1.34,0,0,198.0
-21,-16.0,1032.0,0,2.23,0,0,190.0
-21,-17.0,1031.0,2,1.79,0,0,210.0
